Smiles
O[C@@H]1CC[C@@]2(C)[C@](C1(C)C)(CC[C@@H](C)[C@@]2(CBr)I)[H]
O[C@@H]1CC[C@@]2(C)[C@]([C@]1(CO)C)(CC[C@@H](C)[C@@]2(CBr)I)[H]
[H][C@@](C1(C)C)(CC[C@@H](C)[C@@]2(CBr)I)[C@]2(C)CC[C@H]1OC(C)=O
O[C@@H]1[C@H](O)C[C@@]2(C)[C@](C1(C)C)(CC[C@@H](C)[C@@]2(CBr)I)[H]
O=C1CC[C@@]2(C)[C@](C1(C)C)(CC[C@@H](C)[C@@]2(CBr)I)[H]
[H][C@@](C1(C)C)(CC[C@@H](C)[C@@]2(CBr)I)[C@]2(C)C[C@@H](O)[C@H]1OC(C)=O
