Structure [idcode],Compound-ID,Product-ID,Provider,Molweight,Substance Name,Amount (g),Price,Currency,Stock (g),Smiles
foAqB@FRTPDQdTTTrQRgARUADCUQ@@@ !B?g~w?Xc}m?s~_v@Z?g~H?RqgXFTZG|BYFa}Ta@,,EN300-6491880,Enamine,225.68,"4-chloro-1-(2-methylpropyl)-1H-1,2,3-benzotriazol-5-ol",0.1,446,USD,0,CC(C)C[n]1nnc2c1ccc(O)c2Cl
foA`b@EDdBHRYg^yV\lzB@fjb@@ !B?g~H_[]}b@K~_?y?mwvw_[\B?g}gTqaSFa}eGp,,EN300-118118,Enamine,225.67,2-chloro-4-(pyrrolidine-1-carbonyl)phenol,0.1,152,USD,2.548,Oc(ccc(C(N1CCCC1)=O)c1)c1Cl
foAPa@CVHxDPJHrJJJZIGIdmF``hjd`@@ !B?g~w_Xa}mpK~_?y?b@Jw?Xc}bOvH_Xc|bOw~_p,,EN300-37440924,Enamine,247.08,"5,7-dichloro-2-nitroso-1,2,3,4-tetrahydroisoquinolin-6-ol",0.1,795,USD,1.433,Oc(c(Cl)cc(C1)c2CCN1N=O)c2Cl
foAAb@BR\BHRYgUgV\TZB@ijR@@ !BbOs~@Hc}m?rH?Hc|bOvH?Xc|bOs~_xc}bOvH?@,,EN300-186403,Enamine,224.64,6-chloro-4-ethyl-7-hydroxy-2H-chromen-2-one,0.1,59,USD,0.982,CCC(c(c(O1)c2)cc(Cl)c2O)=CC1=O
foAAb@BR\BHRYgUev\TZB@ijR@@ !BbOs~@Hc}m?rH?Hc|bOvH?Xc|bOs~_xc}bOvH?@,,EN300-186399,Enamine,224.64,"6-chloro-7-hydroxy-3,4-dimethyl-2H-chromen-2-one",0.1,29,USD,1,CC(c(c(O1)c2)cc(Cl)c2O)=C(C)C1=O
foAAa@BT\BHmDILs[jkAZMRuPAP@@@ !Bm?s~@K_}bOrw?K_|?g~w?[_}m?rw?K_}m?vw?@,,EN300-302597,Enamine,245.06,"3,6-dichloro-7-hydroxy-4-methyl-2H-chromen-2-one",0.1,355,USD,0,CC(c(cc(c(O)c1)Cl)c1OC1=O)=C1Cl
foAAa@BR\BHmDILsjskNJMA@TuI@@@ !BbGw~_x`Bm?vH?Xa}bOrH@hc}bGw~@Hc|mpJH?P,,EN300-10543,Enamine,245.06,6-chloro-4-(chloromethyl)-7-hydroxy-2H-chromen-2-one,0.1,75,USD,10,Oc(cc(c(C(CCl)=C1)c2)OC1=O)c2Cl
foAAA@F@bBQFQQQSPsI\eYtDQ@@@@@ !Bm?w~_{\BbOvw?_x@m?w~_{_|mwvH__y??g~H?P,,EN300-45411748,Enamine,239.1,"2,3-dichloro-[1,1'-biphenyl]-4-ol",0.1,301,USD,6.393,Oc1ccc(-c2ccccc2)c(Cl)c1Cl
fnsqa@GIrQSPQDhcHhhmDiXddddfB|GIXHHf@BjdH@@ !B?`BH?K_|bOw~@Ox@b@Jw@k\B?`BH__y?b@JH?Xa}bOrH@hc}bGvH?H`BbOt,,EN300-52972,Enamine,352.18,"6-(3,5-dichloro-2-hydroxybenzoyl)-3-methyl-1H,2H,3H,4H-pyrido[2,3-d]pyrimidin-2-one",0.1,232,USD,0.24,CN(Cc1cc(C(c2cc(Cl)cc(Cl)c2O)=O)cnc1N1)C1=O
fluAb@BR|BHRYgUem]gMFbfB@jXD@`@@ !BbGw~_x`Bm?vH?Xa}b@JH@hc}?`BH_X`Bb@Jw@hc}?`C~@K\B,,EN300-15168,Enamine,272.69,6-chloro-7-hydroxy-4-phenyl-2H-chromen-2-one,0.1,66,USD,0.056,Oc(cc(c(C(c1ccccc1)=C1)c2)OC1=O)c2Cl
fleab@MDlxDPdsMk{[SAJuAAETuTP@@ !B?g~w_Xa}mpK~_?y?b@JH?Xc}bGvH?Hc}bOs~_xc}bGw}mpJH,,EN300-6481884,Enamine,283.75,"tert-butyl 5-chloro-6-hydroxy-1,2,3,4-tetrahydroisoquinoline-2-carboxylate",0.1,342,USD,10,CC(C)(C)OC(N(CC1)Cc(cc2)c1c(Cl)c2O)=O
fle`a@EDdBHSHYEEEeieEDbs`XpPDtAA@@@ !B?g~H?[_}b@K~_?y?m?vw?_y?m?rw?[_|?g~w?_x@mww~_{]},,EN300-118587,Enamine,279.7,3-chloro-N-(4-fluoro-2-methylphenyl)-4-hydroxybenzamide,0.1,268,USD,0,Cc(cc(cc1)F)c1NC(c(cc1)cc(Cl)c1O)=O
fleAR@BR\FHHaIf]VW^v\TZB@ijYh`@@ !Bb@K~@Hc}mpJH@h`BbGvH?X`Bb@K~_xa}bOvH@oy?m?vH?_y?,,EN300-302830,Enamine,282.68,methyl 2-(6-chloro-7-hydroxy-4-methyl-2-oxo-2H-chromen-3-yl)acetate,0.1,64,USD,1.035,CC(c(c(O1)c2)cc(Cl)c2O)=C(CC(OC)=O)C1=O
fleAR@BR]xHHcHhhldhleBf\TZB@ijVh`@@ !B?`Bw@h`Bmww~@Ox@b@JH@ox@?`BH_X`Bb@K~@Ox@bGvH@ha},,EN300-303195,Enamine,282.68,ethyl 2-(6-chloro-7-hydroxy-2-oxo-2H-chromen-4-yl)acetate,0.1,426,USD,0,CCOC(CC(c(c(O1)c2)cc(Cl)c2O)=CC1=O)=O
fj}pa@@qJQPHbtQdTTTvtfdUbSAN}dlDDUUURe@@@ !BjS}oUWbKA{RiOzd?DBixbwbKbp]xb{Qx^KS}m?rwUQB_NaqhpPBsv@,,EN300-26970802,Enamine,328.2,"2-chloro-3-[2-(1-chlorocyclopropyl)-2-hydroxy-3-(1H-1,2,4-triazol-1-yl)propyl]phenol",0.1,3675,USD,2.142,OC(Cc1cccc(O)c1Cl)(C[n]1ncnc1)C1(CC1)Cl
fj}ab@GDDTDQdTTTtRLRaRsIV\gLDEEU@AD@@@ !B?`BH@k\BbOw~@Ox@QwNH@k\BQps_ql[@w}emlCnTXEkFpL[@XEkFp@,,EN300-119508,Enamine,305.76,"6-chloro-1-(4-hydroxyphenyl)-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol",0.1,156,USD,0,Oc1ccc(C(CNCC2)c(cc3O)c2c(Cl)c3O)cc1
fj}Pc@IVHxDPJHLDILsksMzkN^CdlDAURt@@@@@ !Bmww~_{\BbGvw_[]}mpJw@k]}?g~w@hc}m?w~@K]}m?rw@k_}mwvw?@,,EN300-1719790,Enamine,339.2,"3-(2,4-dichloro-5-hydroxyphenyl)-2-sulfanyl-3,4-dihydroquinazolin-4-one",0.1,466,USD,0.231,Oc(cc(c(Cl)c1)N2C(S)=Nc3ccccc3C2=O)c1Cl
fj}Ab@BR\BHRYgUeweV\T[IXHBfi`@H@@ !BbOs~@Hc}m?rH?Hc|bOvH?Xc|bOs~_xc}bOvH?Hc|bOw~@Hc|bOs~@@,,EN300-302972,Enamine,300.74,3-benzyl-6-chloro-7-hydroxy-4-methyl-2H-chromen-2-one,0.1,29,USD,1.066,CC(c(c(O1)c2)cc(Cl)c2O)=C(Cc2ccccc2)C1=O
fjmQc@EEHgHHbTQDHRYggvUvf\|FB@j`@e`@@ !BmpK~@K]}b@Jw@k\Bmww~@K]}bOs~@K\Bb@K~@Ox@b@K~@@C~_?{~@@,,EN300-216766,Enamine,347.22,"4-{[(3,5-dichloro-2-hydroxyphenyl)methyl]amino}benzene-1-sulfonamide",0.1,298,USD,0.287,NS(c(cc1)ccc1NCc1cc(Cl)cc(Cl)c1O)(=O)=O
fjmQc@EEHgHHbTPDHRYggvUnf\}FB@j`BE`@@ !Bm?vw?Oy??`Bw?[]}?g~w?Oy??`Bw@ox@mwvw@k\B?`Bw?PC~_?{~@@,,EN300-216763,Enamine,347.22,"3-{[(3,5-dichloro-2-hydroxyphenyl)methyl]amino}benzene-1-sulfonamide",0.1,372,USD,0.204,NS(c1cccc(NCc2cc(Cl)cc(Cl)c2O)c1)(=O)=O
fjmPa@IVHXDPfPrJJKKQJJEJIgHy``Ji`BH@@@ !B?`Bw?Hc|m?w~@Ox@b@JH@ha}?`BH@hc|m?rH__x@b@JH?Ha}?`C~@@,,EN300-123388,Enamine,308.74,2-(3-chloro-4-hydroxyphenyl)-2-[(3-fluoro-5-methylphenyl)amino]acetamide,0.1,376,USD,0.528,Cc1cc(NC(C(N)=O)c(cc2)cc(Cl)c2O)cc(F)c1
fjcQB@IJHBHRYg^UeUf\MZNTe``Jj@@@@@@ !BbOrH?_x@?g~H?H`B?`C~@Hc|m?s~@Ox@mpJH@k\B?`C~@Ox@b@Jw@`,,EN300-84795,Enamine,296.76,"2-chloro-4-(2,3-dihydro-1H-perimidin-2-yl)phenol",0.1,282,USD,0.322,Oc(ccc(C(N1)Nc2cccc3c2c1ccc3)c1)c1Cl
fi{qc@GUZQVPQDh`hQdTTVbTlRTRTVSA^Ct\DDSMMSOQH@@ !B?`BH@k\BbOw~@Ox@b@Jw@k\B?`BH?_y?b@JH?Xc}b@K~_x`BbOtXTv]Sb@IeGqh_,,EN300-05304,Enamine,392.22,"5-(3,5-dichloro-2-hydroxybenzoyl)-2-oxo-1-(1,3-thiazol-2-yl)-1,2-dihydropyridine-3-carbonitrile",0.1,83,USD,0,N#CC1=CC(C(c2cc(Cl)cc(Cl)c2O)=O)=CN(c2ncc[s]2)C1=O
fhyaA@EDADRBDfYweUV\t[pXHBf`@@@@ !B?Xc|bG?~@O{}bGvH_?y??eMgTq`_Fa}em?vw?K_|mwt,,EN300-07914,Enamine,261.73,"4-(1,3-benzothiazol-2-yl)-2-chlorophenol",0.1,83,USD,5.423,Oc(ccc(-c1nc2ccccc2[s]1)c1)c1Cl
fhyAb@BR|BHRYgUeUYqQgA``JZib`@@ !B?Hc}b@C~_?{|b@JH@Ox@?`JH@h`BmpC~@Ox@?`JH@k\,,EN300-186374,Enamine,250.68,"2-chloro-3-hydroxy-6H,7H,8H,9H,10H-cyclohexa[c]chromen-6-one",0.1,29,USD,10,Oc(cc(c(C1=C2CCCC1)c1)OC2=O)c1Cl
fhyAb@BR|BHRYgUeUYqQgA``JBAB@@@ !B?Hc}b@C~_?{|b@JH@Ox@?`JH@h`BmpC~@Ox@?`JH@k\,,EN300-186398,Enamine,246.65,2-chloro-3-hydroxy-6H-benzo[c]chromen-6-one,0.1,129,USD,6.095,Oc(cc(c(-c1c2cccc1)c1)OC2=O)c1Cl
fhqAa@BZLBHyDYEEEhbhddpTDDUUT@@@ !B?K_}mpC~_?{|mpJw?[\@?`C~?K\@?ovw?K]??`C~_[\,,EN300-122596,Enamine,279.16,"2,6-dichloro-4-(2,2-diethoxyethyl)phenol",0.1,337,USD,0,CCOC(Cc(cc1Cl)cc(Cl)c1O)OCC
fhiac@IDLxDQrHBDYEEEhcEELpW`pPQTsQ@@@ !Bm?s~@K_}b@Jw@k_|?`Bw_[_}m?s~_?x@m?vH?[_}?g|,,EN300-13934257,Enamine,292.14,"4-(3,5-dichloro-4-hydroxyphenyl)thiomorpholine-3,5-dione",0.1,470,USD,0,Oc(c(Cl)cc(N(C(CSC1)=O)C1=O)c1)c1Cl
fhiQA@NNHBHeDYEEEhdmBhpVcPPA@UP@@@ !BbOrH?_x@?g~H?H`BbOw~@Ox@bOrH@ox@bOw~_xc}m?t,,EN300-305718,Enamine,271.15,"5,7-dichloro-2-[(dimethylamino)methyl]quinolin-8-ol",0.1,1227,USD,2.305,CN(C)Cc(cc1)nc2c1c(Cl)cc(Cl)c2O
fhiAb@BJtBHrJJKQJZEI`oA``bX@@@@ !Bm?s~@K_}b@Jw@k_|?`Bw?[_}b@Jw@k_|?g~w?[]}?g|,,EN300-96656,Enamine,248.66,3-chloro-2-hydroxy-5-phenylbenzoic acid,0.1,119,USD,10,OC(c1cc(-c2ccccc2)cc(Cl)c1O)=O
fhiAb@BR\BHRYgUgWYqQhHBfih`@@ !Bb@K~@Hc}mpJH@h`BbGvH?X`Bb@K~_xa}bOvH@oy?bGt,,EN300-186370,Enamine,252.7,4-butyl-6-chloro-7-hydroxy-2H-chromen-2-one,0.1,29,USD,1,CCCCC(c(c(O1)c2)cc(Cl)c2O)=CC1=O
fhiAa@BRTBHyPILs_ZsLEhtDDUUTP@@ !BotySY|wPtl~?Sk}NKAcMtFU`@OxXKAi`JxQTaL@YeDP,,EN300-1706323,Enamine,254.52,"2-chloro-3-(tetramethyl-1,3,2-dioxaborolan-2-yl)phenol",0.1,41,USD,10,CC1(C)OB(c2cccc(O)c2Cl)OC1(C)C
fhiAa@BRTBHEPILsoJsLyhtDAUUTP@@ !Bs]B?SbpXTv_MtLwPKA`lFFU`@OxXKAi`JxQTaL@YeDP,,EN300-1704510,Enamine,254.52,"2-chloro-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)phenol",0.1,23,USD,10,CC1(C)OB(c(cc2)cc(Cl)c2O)OC1(C)C
fhiAa@BRTBHEPILs{JsLyhtDAUUTP@@ !BKAb@L\wPtl|lFBpXs]@lFFU`@OxXKAi`JxQTaL@YeDP,,EN300-12602377,Enamine,254.52,"2-chloro-5-(tetramethyl-1,3,2-dioxaborolan-2-yl)phenol",0.1,104,USD,10,CC1(C)OB(c(cc2)cc(O)c2Cl)OC1(C)C
fhi@a@FJADDbLbbbfaabRyKpXHbF@@@@@ !Bb@JH__x@?g~H@k\Bb@JH__x@b@K~_{_}bOw~_?y?bOt,,EN300-1276854,Enamine,267.11,"4-benzoyl-2,3-dichlorophenol",0.1,275,USD,0,Oc1ccc(C(c2ccccc2)=O)c(Cl)c1Cl
fhaa``CD]xDQrPUHAbDfYywnFB``bjf@@@ !BbOrH?_x@?g~H?Hc|bOw~@Ox@bOrH?Hc}?`BH@k\Bv@X,,EN300-1688967,Enamine,288.08,"2-amino-3-(5-chloro-2,3-difluoro-4-hydroxyphenyl)propanoic acid hydrochloride",0.1,953,USD,0,NC(Cc(c(F)c1F)cc(Cl)c1O)C(O)=O.Cl
fhaa``CL]xDPRPUHAbLbbbfaVf`xJBHJjX@@ !BmpK~@K]}b@Jw@oy?mpJw__x@mpJH@ha}?`BH@k\BRgh,,EN300-1657639,Enamine,288.08,"2-amino-3-(3-chloro-2,6-difluoro-4-hydroxyphenyl)propanoic acid hydrochloride",0.1,790,USD,0.398,NC(Cc(c(F)c(c(O)c1)Cl)c1F)C(O)=O.Cl
fhaQC@INHBH}DAbDfYwYTF\lzB@jjb@@ !Bm?vw?Oy??`Bw?[]}?g?~_xc}?g~H?Ha}bOvH@gGrK_H,,EN300-365529,Enamine,299.63,2-chloro-4-[(piperazin-1-yl)methyl]phenol dihydrochloride,0.1,248,USD,10,Oc(ccc(CN1CCNCC1)c1)c1Cl.Cl.Cl
fhaQ@`INHBHyD^b@qFQQQZHqI@LEYtDDUUD@@ !BbOvH?Oy??`BH?Xa}bOs~_?y?m?vH?_y??g~H_R[rT_H,,EN300-37080539,Enamine,320.05,"2,6-dichloro-4-(piperazin-1-yl)phenol dihydrochloride",0.1,252,USD,10,Oc(c(Cl)cc(N1CCNCC1)c1)c1Cl.Cl.Cl
ff}aa@GDDTDQVHrJJJZIFIPiXLeYr\pPTUT@DP@@ !B?`BH@k\BbOw~@Ox@QwNH@k\BQps_ql[@w}emlCnTXEkFpL[@XEkFpOsr,,EN300-207691,Enamine,342.22,"6-chloro-1-(4-hydroxyphenyl)-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol hydrochloride",0.1,152,USD,8.624,Oc1ccc(C(CNCC2)c(cc3O)c2c(Cl)c3O)cc1.Cl
ffcab@ADehDPdsNkwSN{N^RVlDATuPPA@@@ !B_{jE@Cl{QDQ?ng~zNsl{Nw~z_{jE@Cl{NtP{NtP{n`A?aTP{NtP{QG~E,,EN300-247750,Enamine,317.77,"N-(5-chloro-2,4-dihydroxyphenyl)-1-phenylcyclobutane-1-carboxamide",0.1,614,USD,0,Oc(c(NC(C1(CCC1)c1ccccc1)=O)c1)cc(O)c1Cl
fe{`q@GDDUoQ`bJaFQQQSQHqJEKCRQdkNSfBBbj`@eh`@@ !B?`BH@k\BbOw~@Ox@QwNH@k\BQps_ql[@w}emlCnTXEkFpL[@XEkFpOSr?`A??`C~?g|,,EN300-120489,Enamine,401.87,"6-chloro-1-(4-hydroxyphenyl)-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol; methanesulfonic acid",0.1,144,USD,0,CS(O)(=O)=O.Oc1ccc(C(CNCC2)c(cc3O)c2c(Cl)c3O)cc1
fewaa@DlEDDPRHrJJJZEIJIHjIK\dkS`}GADQUSM@AC@HN` !BpJYTnqi`YQ?@ibnDpJXXTqi`FBp@?lBYUHQTaAh_pIg@f\BYFa?@fRn{Fa|ZGrn{Fa|,,EN300-37088613,Enamine,388.25,"(6Z)-10,11-dichloro-12-hydroxy-6-{[(4-methylphenyl)amino]methylidene}-8-oxatricyclo[7.4.0.0,2,7]trideca-1(9),2(7),10,12-tetraen-5-one",0.1,752,USD,0.336,Cc(cc1)ccc1N/C=C(/c1c(CC2)c(cc(c(Cl)c3Cl)O)c3[o]1)\C2=O
fegAr@BRMEKQ`bLbbbttrbbRbJbsAV|WlDDSTDpTTP@@ !B?`BH?K_|bOw~@Ox@b@Jw@hc}?`BH@k\Bb@JH?_x@mww~@Oy?b@JH@hc}bOw~@Ox@b@H,,EN300-24196048,Enamine,378.76,"2-(3-chloro-2-hydroxyphenyl)-5-hydroxy-3,7,8-trimethoxy-4H-chromen-4-one",0.1,958,USD,2.062,COc(c(OC)c1OC(c2cccc(Cl)c2O)=C2OC)cc(O)c1C2=O
fdyab@EDdDDPdsN}rnlx{tDAMUUD@@ !Bmww~_{\BbOvw?[]}m?rw@k]}?`Bw?Hc|?`C~@H`B?`BH@`,,EN300-118124,Enamine,269.73,2-chloro-4-(4-methoxypiperidine-1-carbonyl)phenol,0.1,232,USD,0.643,COC(CC1)CCN1C(c(cc1)cc(Cl)c1O)=O
fdyPb@E^IHDPdsN}kJlxFLDAMP@@@@ !Bb@K~@Ha}mpJH@h`BbGvH_X`B?g~H?_y?bOvw?_y??g~w_P,,EN300-118120,Enamine,262.7,3-chloro-4-hydroxy-N-[(pyridin-3-yl)methyl]benzamide,0.1,241,USD,0.602,Oc(ccc(C(NCc1cnccc1)=O)c1)c1Cl
fdyPb@EQIHDPdsN}kJlxFLDAMP@@@@ !Bb@K~@Ha}mpJH@h`BbGvH_X`B?g~H?_y?m?vH?_y??g~H_P,,EN300-118860,Enamine,262.7,3-chloro-4-hydroxy-N-[(pyridin-4-yl)methyl]benzamide,0.1,232,USD,0.982,Oc(ccc(C(NCc1ccncc1)=O)c1)c1Cl
fdyAc@BJtBHyHRhLbbbtQbRbcAFmAAEUUQ@@@ !Bs]B?SbpXTv_MtLwPotxlFBpXYV@@?a`lFf@kaERDpAfTQ@,,EN300-12579574,Enamine,272.51,"2-chloro-6-fluoro-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)phenol",0.1,110,USD,3.737,CC1(C)OB(c(cc2F)cc(Cl)c2O)OC1(C)C
fdyAc@BJtBHEPRbDfYu[VYgCV``Jjjh`@@ !B`CGRsrpXTv^@LX@qKA`lFH@qYV@@?a`lFf@kaERDpAfTQ@,,EN300-23407336,Enamine,288.96,"2,5-dichloro-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)phenol",0.1,176,USD,10,CC1(C)OB(c(c(Cl)c2)cc(Cl)c2O)OC1(C)C
fdyAc@BJtBHyDRhLbbbtQbRbcAFmAAEUUQ@@@ !B`CGRsrpXTv^@LX@qtl|lFBpXYV@@?a`lFf@kaERDpAfTQ@,,EN300-7413494,Enamine,288.96,"2,6-dichloro-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)phenol",0.25,19,USD,10,CC1(C)OB(c(cc2Cl)cc(Cl)c2O)OC1(C)C
fdyAc@BJtBHEPRdDfYu[VYgCV``Jjjh`@@ !B`CGRsrpXTv^@LX@qKA`lFH@qYV@@?a`lFf@kaERDpAfTQ@,,EN300-24295376,Enamine,272.51,"2-chloro-5-fluoro-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)phenol",0.1,109,USD,10,CC1(C)OB(c(c(F)c2)cc(Cl)c2O)OC1(C)C
fdyAa@BJtBHePYEEEhcDeEF\MZB@jjjb@@ !B`CGRsrpXTv^@LX@qKAcRsrpX@OyeXAi`FBsPs_rHUHPka@,,EN300-6253738,Enamine,268.55,"2-chloro-6-methyl-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)phenol",0.1,89,USD,10,CC1(C)OB(c(cc2C)cc(Cl)c2O)OC1(C)C
fdyAa@BJtBHePYEEELcDeEFBMZBBJjjb@@ !B`CGRsrpXTv^@LX@qs]@lFBpX@OyeXAi`FBsPsPJHUHPka@,,EN300-22914949,Enamine,268.55,"2-chloro-3-methyl-4-(tetramethyl-1,3,2-dioxaborolan-2-yl)phenol",0.25,19,USD,10,CC1(C)OB(c(cc2)c(C)c(Cl)c2O)OC1(C)C
fdyAR@BR]xHHcHhhldhleBsbcPPEMRtP@@ !Bb@K~@Hc}mpJH@h`BbGvH?X`Bb@K~_xa}bOvH@hc|?g~H_P,,EN300-302516,Enamine,268.65,methyl 2-(6-chloro-7-hydroxy-2-oxo-2H-chromen-4-yl)acetate,0.1,80,USD,1.228,COC(CC(c(c(O1)c2)cc(Cl)c2O)=CC1=O)=O
fdiQC@NNHBHeDQbLbbbtRVaTCAZMA@DAU@@@ !BNFHxG_zp?h|xXcabNAw~lOzpNFHxXozpNAw~cs`]Qqt@G`,,EN300-307635,Enamine,307.61,"5,7-dichloro-2-[(dimethylamino)methyl]quinolin-8-ol hydrochloride",0.1,1127,USD,0.683,CN(C)Cc(cc1)nc2c1c(Cl)cc(Cl)c2O.Cl
fdeaC@MDAD\bEAFQQQZHqIII`cVCFBBJZ@@@@@ !B?[_|mw?~@O{}mwvw?K]??g?~Tv]SFA|ZGvVw?[_|m?rw_P,,EN300-07915,Enamine,296.18,"4-(1,3-benzothiazol-2-yl)-2,6-dichlorophenol",0.1,83,USD,0.649,Oc(c(Cl)cc(-c1nc2ccccc2[s]1)c1)c1Cl
fcoaR@ODyFkPQFQQQZIYJZJIZJUI`b}WnBBJZ`XF@@@@@ !B?`BH?K_|bOw~@Ox@b@Jw@k\BbOvw?X`BmpK~_{_}?`BH?[_}mpJw@k_|?g?~@K_}mpJw@k]},,EN300-1190753,Enamine,397.81,4-(3-chloro-5-ethoxy-4-hydroxyphenyl)-2-oxo-3-(quinolin-2-yl)but-3-enoic acid,0.1,317,USD,0.119,CCOc1cc(C=C(C(C(O)=O)=O)c2nc(cccc3)c3cc2)cc(Cl)c1O
fbuAb@BR\BHRYgUewUYqQhHBfijh`@@ !B?`Bw@h`Bmww~@Ox@b@JH@ox@?`BH_X`Bb@K~@Ha}b@JH_X`BbGt,,EN300-303256,Enamine,294.78,6-chloro-3-hexyl-7-hydroxy-4-methyl-2H-chromen-2-one,0.1,44,USD,1.044,CCCCCCC(C(Oc1c2)=O)=C(C)c1cc(Cl)c2O
fbeQc@KQHpHHbTQjHrJJJISJjJH|UADTUTu@@@ !Bm?s~@K_}b@Jw@oy?m?rH__x@mwvw?X`BbGw~_x`BbOvw?Xa}b@H,,EN300-269226,Enamine,341.62,"1-propyl-1-[2-(2,4,6-trichloro-3-hydroxyphenoxy)ethyl]urea",0.1,431,USD,0.839,CCCN(CCOc(c(Cl)cc(Cl)c1O)c1Cl)C(N)=O
fakPR@EZIsqPQFQQQZHqQJIYII`gAjvBBJjf```@@@ !B?`BH?K_|bOw~@Ox@b@Jw@k\B?`Bw?[\Bb@Jw@ox@mww~@K_}mpJH@k\Bmww~@@,,EN300-37405833,Enamine,348.79,"2-(3-chloro-4,5-dihydroxyphenyl)-3-(2-methoxyethyl)-1,2,3,4-tetrahydroquinazolin-4-one",0.1,719,USD,0.087,COCCN(C(c(cc1O)cc(Cl)c1O)Nc1ccccc11)C1=O
fakIa@M^KTde@bNAFQQQZZRjJIYJI`hiKVBBEhBBf``@@ !BmpK~@K]}bOrw?K\B?`Bw?PC~_?{~@H`B?`BH?X`BmpJH@ha}XFU`FbpXFa|ZX@,,EN300-43591026,Enamine,366.83,"3-chloro-2-hydroxy-N-{1,3,6-trimethyl-1H-pyrazolo[3,4-b]pyridin-5-yl}benzene-1-sulfonamide",0.1,491,USD,0.09,Cc(c1c2)n[n](C)c1nc(C)c2NS(c1cccc(Cl)c1O)(=O)=O
f`~QC@NVHBH]D^bDfY{mPXHuhHHjh`@@ !BbGvH@oy??`BH_Xa}b@K~_xa}?`BH@h`B?`@jxe{b,,EN300-7429972,Enamine,285.6,2-chloro-6-(piperazin-1-yl)phenol dihydrochloride,0.1,337,USD,10,Oc(c(N1CCNCC1)ccc1)c1Cl.Cl.Cl
f`~QC@AVHBH]D^bDfYwePYpuhHBjh`@@ !Bm?vw?Oy??`Bw?[]}?g?~_{_}bOw~_?y?bGvY|owr,,EN300-51896638,Enamine,285.6,2-chloro-4-(piperazin-1-yl)phenol dihydrochloride,0.1,298,USD,10,Oc(ccc(N1CCNCC1)c1)c1Cl.Cl.Cl
f`qab@EDexDPdsN}rkNN}A@SUTP@@ !Bm?rw?_x@?g~w?K\B?`C~@H`BmpK~@K]}mpJw@k]},,EN300-118119,Enamine,241.67,2-chloro-4-(morpholine-4-carbonyl)phenol,0.1,152,USD,10,Oc(ccc(C(N1CCOCC1)=O)c1)c1Cl
f`qaa@ED]xDQHHRYg^WYgMF``JjfJAd@ !BosGMsuLXKF^?L[|qTqaSFG?~FfAeXF\l?`Bw@h`B,,EN300-186453,Enamine,259.71,"(4S)-2-(3-chloro-4-hydroxyphenyl)-1,3-thiazolidine-4-carboxylic acid",0.1,97,USD,0.844,OC([C@@H]1NC(c(cc2)cc(Cl)c2O)SC1)=O
f`qAb@BR\BHRYgUgUgEF``JZfH@@ !Bb@K~@Hc}mpJH@h`BbGvH?X`Bb@K~_xa}bOvH@oy?,,EN300-186409,Enamine,238.67,6-chloro-7-hydroxy-4-propyl-2H-chromen-2-one,0.1,87,USD,0.848,CCCC(c(c(O1)c2)cc(Cl)c2O)=CC1=O
f`qAb@BR\BHRYgUeugEF``JZfH@@ !BbOs~@Hc}m?rH?Hc|bOvH?Xc|bOs~_xc}bOvH?Oy?,,EN300-302358,Enamine,238.67,6-chloro-3-ethyl-7-hydroxy-4-methyl-2H-chromen-2-one,0.1,355,USD,0,CCC(C(Oc1c2)=O)=C(C)c1cc(Cl)c2O
f`qAB@B@bDfYwfuYqwhHBh@@@@ !Bb@K~@Ha}mpJH@h`BbGvH__y?b@Jw?Xc}?g?~_xc},,EN300-23691826,Enamine,232.71,2-chloro-4-(1-phenylethyl)phenol,0.1,446,USD,0.091,CC(c1ccccc1)c(cc1)cc(Cl)c1O
f`q@b@BJADILssmjscoPPEH@@@@ !Bm?s~@K_}b@Jw@k_|m?w~@K_}b@Jw?Oy?m?vw__y?,,EN300-99613,Enamine,232.66,3-chloro-2-hydroxy-5-phenylbenzaldehyde,0.1,232,USD,0,Oc(c(C=O)cc(-c1ccccc1)c1)c1Cl
f`iAb@BR|BHRYgUeUgEFlzB@ijdh@@ !BOLc]|@CA_}x|rCsH@LD@pSsHOLbtApCAHKfP|csH,,EN300-186386,Enamine,236.65,"8-chloro-7-hydroxy-1H,2H,3H,4H-cyclopenta[c]chromen-4-one",0.1,88,USD,0.992,Oc(cc(c(C1=C2CCC1)c1)OC2=O)c1Cl
f`aab@ADUhDPdsN{[SNPPEMU@@@ !BmpJw__x@?g~w@k\B?`C~@H`BbGw~@Hc|b@HBm?vH,,EN300-177384,Enamine,243.69,tert-butyl N-(3-chloro-4-hydroxyphenyl)carbamate,0.1,136,USD,10,CC(C)(C)OC(Nc(cc1)cc(Cl)c1O)=O
