Structure [idcode],Compound-ID,Product-ID,Provider,Molweight,Substance Name,Amount (g),Price,Currency,Stock (g),Smiles
do~JaII]NpkIf~RYgenvFBBIf`@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}mpJH@oy?mpK~@@,,EN300-1663339,Enamine,323.04,methyl 2-hydroxy-3-iodo-5-nitrobenzoate,0.1,113,USD,8.114,COC(c1cc([N+]([O-])=O)cc(I)c1O)=O
dmvLaFJUBlZUyIf[[a`bA`@@ !Bmww~_{\BbGvw__x@mwvw@k\Bb@H,,EN300-175100,Enamine,265,2-iodo-3-nitrophenol,0.1,50,USD,10,[O-][N+](c1cccc(O)c1I)=O
dmvLaAJUBlFUyIf_Yn``I`@@ !B?`BH@k\BbGw~@Ox@mpK~@K\Bb@H,,EN300-76444,Enamine,265,2-iodo-5-nitrophenol,1,19,USD,10,[O-][N+](c(cc1)cc(O)c1I)=O
dmvH`EHJsHhhmDVzB@k@@ !BmpK~@K]}b@Jw@k\Bmww~@K]}mwt,,EN300-45635532,Enamine,259.04,4-hydroxy-3-iodo-5-methylbenzonitrile,0.1,238,USD,10,Cc1cc(C#N)cc(I)c1O
dmvH`EHJqIf_Un``Jp@@ !B?`BH@k\BbGw~@Ox@mpK~@H`BbOp,,EN300-6868256,Enamine,259.04,2-(3-hydroxy-4-iodophenyl)acetonitrile,0.1,241,USD,7.647,N#CCc(cc1)cc(O)c1I
dmvHPEHJrXaIf^Ua``bp@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}?`@,,EN300-7721427,Enamine,279.46,5-chloro-2-hydroxy-3-iodobenzonitrile,0.1,120,USD,10,N#Cc1cc(Cl)cc(I)c1O
dmvHPEHJslSHhhmDVFBBK@@ !BmpJw__x@?g~w@k\Bmww~@Ox@?`@,,EN300-24201724,Enamine,323.91,3-bromo-4-hydroxy-5-iodobenzonitrile,0.1,439,USD,0,N#Cc(cc1Br)cc(I)c1O
dmvD`EJPkDfY{fFBBF@@ !BmpK~@K]}b@Jw@k\B?`Bw_[\Bb@H,,EN300-6777803,Enamine,263.03,2-hydroxy-3-iodobenzamide,0.1,317,USD,2.639,NC(c1cccc(I)c1O)=O
dmvD`EJPkDfY}fzB@f@@ !B?`BH@k\BbGw~@Ox@mpK~@K\Bb@H,,EN300-194146,Enamine,263.03,3-hydroxy-4-iodobenzamide,0.1,102,USD,2.194,NC(c(cc1)cc(O)c1I)=O
dmtL`BePkDfY{fFBBF@@ !BmpK~@K]}b@Jw@k\B?`Bw_X`BmpH,,EN300-134249,Enamine,264.01,2-hydroxy-3-iodobenzoic acid,0.1,186,USD,8.768,OC(c1cccc(I)c1O)=O
dmtL`BePkDfYwfzB@f@@ !BmpJw__x@?g~w@k\B?`C~@H`BmpH,,EN300-150502,Enamine,264.01,4-hydroxy-3-iodobenzoic acid,0.1,74,USD,0,OC(c(cc1)cc(I)c1O)=O
dmtL`BePkDfY}fzB@f@@ !B?`BH@k\BbGw~@Ox@mpK~@H`BmpH,,EN300-116482,Enamine,264.01,3-hydroxy-4-iodobenzoic acid,0.25,19,USD,10,OC(c(cc1)cc(O)c1I)=O
dmtHHFBlJPGDVPRYf{zXHbH@@ !Bmww~_{\BbGvw__x@mww~_{\BmpH,,EN300-45643574,Enamine,334.88,"4-bromo-3,6-difluoro-2-iodophenol",0.1,176,USD,10,Oc(c(I)c(c(Br)c1)F)c1F
dmtHHBBlzPgDVPRYggXXHHh@@ !Bmwvw@oy??`Bw_[]}mpK~_?y?mwt,,EN300-4106734,Enamine,334.88,"4-bromo-2,3-difluoro-6-iodophenol",0.1,176,USD,10,Oc(c(F)c(c(Br)c1)F)c1I
dmtDpBXJpZqZqIf[oi`bH`@@ !Bmwvw@oy??`Bw_Xa}mwvw@oy??g|,,EN300-6498190,Enamine,487.79,"2,4,6-triiodobenzene-1,3-diol",0.1,26,USD,8.414,Oc(c(I)c(c(I)c1)O)c1I
